player,frame,ball_x,ball_y,ball_vx,ball_vy,self_px,opp_px,ball_served,serving_is_self,blocker_x,pred_landing_x,prev1_ball_vx,prev1_ball_vy,prev1_self_px,prev2_ball_vx,prev2_ball_vy,prev2_self_px,action,landing_dx,time_to_land,ball_speed_abs
2P,37,154,158,7,-7,105,95,1,0,160,153.0,7,-7,105,7.0,-7.0,100.0,MOVE_RIGHT,48.0,0.2,9.899494936611665
1P,38,161,151,7,-7,100,110,1,1,155,155.0,7,-7,100,7.0,-7.0,95.0,MOVE_RIGHT,55.0,0.18333333333333332,9.899494936611665
2P,38,161,151,7,-7,110,100,1,0,155,155.0,7,-7,110,7.0,-7.0,105.0,MOVE_RIGHT,45.0,0.18333333333333332,9.899494936611665
1P,39,168,144,7,-7,105,115,1,1,150,160.0,7,-7,105,7.0,-7.0,100.0,MOVE_RIGHT,48.0,0.16666666666666666,9.899494936611665
2P,39,168,144,7,-7,115,105,1,0,150,160.0,7,-7,115,7.0,-7.0,110.0,MOVE_RIGHT,38.0,0.16666666666666666,9.899494936611665
1P,40,175,137,7,-7,110,120,1,1,145,153.0,7,-7,110,7.0,-7.0,105.0,MOVE_RIGHT,43.0,0.15,9.899494936611665
2P,40,175,137,7,-7,120,110,1,0,145,153.0,7,-7,120,7.0,-7.0,115.0,MOVE_RIGHT,33.0,0.15,9.899494936611665
1P,41,182,130,7,-7,115,125,1,1,140,153.0,7,-7,115,7.0,-7.0,110.0,MOVE_RIGHT,38.0,0.13333333333333333,9.899494936611665
2P,41,182,130,7,-7,125,115,1,0,140,153.0,7,-7,125,7.0,-7.0,120.0,MOVE_RIGHT,28.0,0.13333333333333333,9.899494936611665
1P,42,189,123,7,-7,120,130,1,1,135,153.0,7,-7,120,7.0,-7.0,115.0,MOVE_RIGHT,33.0,0.11666666666666667,9.899494936611665
2P,42,189,123,7,-7,130,120,1,0,135,153.0,7,-7,130,7.0,-7.0,125.0,MOVE_RIGHT,23.0,0.11666666666666667,9.899494936611665
1P,43,190,116,-7,-7,125,135,1,1,130,153.0,-7,-7,125,7.0,-7.0,120.0,MOVE_RIGHT,28.0,0.1,9.899494936611665
2P,43,190,116,-7,-7,135,125,1,0,130,153.0,-7,-7,135,7.0,-7.0,130.0,NONE,18.0,0.1,9.899494936611665
1P,44,183,109,-7,-7,130,135,1,1,125,153.0,-7,-7,130,-7.0,-7.0,125.0,MOVE_RIGHT,23.0,0.08333333333333333,9.899494936611665
