player,frame,ball_x,ball_y,ball_vx,ball_vy,self_px,opp_px,ball_served,serving_is_self,blocker_x,pred_landing_x,prev1_ball_vx,prev1_ball_vy,prev1_self_px,prev2_ball_vx,prev2_ball_vy,prev2_self_px,action
2P,42,113,123,-7,-7,95,135,1,0,135,69.0,-7,-7,95,-7,-7,100,MOVE_RIGHT
1P,43,106,116,-7,-7,130,100,1,1,130,69.0,-7,-7,130,-7,-7,135,MOVE_LEFT
2P,43,106,116,-7,-7,100,130,1,0,130,69.0,-7,-7,100,-7,-7,95,MOVE_LEFT
1P,44,99,109,-7,-7,125,95,1,1,125,69.0,-7,-7,125,-7,-7,130,MOVE_LEFT
2P,44,99,109,-7,-7,95,125,1,0,125,69.0,-7,-7,95,-7,-7,100,MOVE_LEFT
1P,45,92,102,-7,-7,120,90,1,1,120,69.0,-7,-7,120,-7,-7,125,MOVE_LEFT
2P,45,92,102,-7,-7,90,120,1,0,120,69.0,-7,-7,90,-7,-7,95,MOVE_LEFT
1P,46,85,95,-7,-7,115,85,1,1,115,69.0,-7,-7,115,-7,-7,120,MOVE_LEFT
2P,46,85,95,-7,-7,85,115,1,0,115,69.0,-7,-7,85,-7,-7,90,MOVE_LEFT
1P,47,78,88,-7,-7,110,80,1,1,110,69.0,-7,-7,110,-7,-7,115,MOVE_LEFT
2P,47,78,88,-7,-7,80,110,1,0,110,69.0,-7,-7,80,-7,-7,85,MOVE_LEFT
1P,48,71,81,-7,-7,105,75,1,1,105,69.0,-7,-7,105,-7,-7,110,MOVE_LEFT
2P,48,71,81,-7,-7,75,105,1,0,105,69.0,-7,-7,75,-7,-7,80,MOVE_LEFT
1P,49,64,80,-10,7,100,70,1,1,100,35.0,-10,7,100,-7,-7,105,MOVE_LEFT
2P,49,64,80,-10,7,70,100,1,0,100,35.0,-10,7,70,-7,-7,75,MOVE_LEFT
1P,50,54,87,-10,7,95,65,1,1,95,35.0,-10,7,95,-10,7,100,MOVE_LEFT
2P,50,54,87,-10,7,65,95,1,0,95,35.0,-10,7,65,-10,7,70,MOVE_LEFT
1P,51,44,94,-10,7,90,60,1,1,90,35.0,-10,7,90,-10,7,95,MOVE_LEFT
2P,51,44,94,-10,7,60,90,1,0,90,35.0,-10,7,60,-10,7,65,MOVE_LEFT
1P,52,34,101,-10,7,85,55,1,1,85,35.0,-10,7,85,-10,7,90,MOVE_LEFT
2P,52,34,101,-10,7,55,85,1,0,85,35.0,-10,7,55,-10,7,60,MOVE_LEFT
1P,53,24,108,-10,7,80,50,1,1,80,35.0,-10,7,80,-10,7,85,MOVE_LEFT
2P,53,24,108,-10,7,50,80,1,0,80,35.0,-10,7,50,-10,7,55,MOVE_LEFT
