player,frame,ball_x,ball_y,ball_vx,ball_vy,self_px,opp_px,ball_served,serving_is_self,blocker_x,pred_landing_x,prev1_ball_vx,prev1_ball_vy,prev1_self_px,prev2_ball_vx,prev2_ball_vy,prev2_self_px,action
2P,87,70,346,-10,7,60,120,1,0,90,35.0,-10,7,60,-10,7,65,MOVE_LEFT
1P,88,60,353,-10,7,115,55,1,1,95,35.0,-10,7,115,-10,7,120,MOVE_LEFT
2P,88,60,353,-10,7,55,115,1,0,95,35.0,-10,7,55,-10,7,60,MOVE_LEFT
1P,89,50,360,-10,7,110,50,1,1,100,35.0,-10,7,110,-10,7,115,MOVE_LEFT
2P,89,50,360,-10,7,50,110,1,0,100,35.0,-10,7,50,-10,7,55,MOVE_LEFT
1P,90,40,367,-10,7,105,45,1,1,105,35.0,-10,7,105,-10,7,110,MOVE_LEFT
2P,90,40,367,-10,7,45,105,1,0,105,35.0,-10,7,45,-10,7,50,MOVE_LEFT
1P,91,30,374,-10,7,100,40,1,1,110,35.0,-10,7,100,-10,7,105,MOVE_LEFT
2P,91,30,374,-10,7,40,100,1,0,110,35.0,-10,7,40,-10,7,45,MOVE_LEFT
1P,92,20,381,-10,7,95,35,1,1,115,35.0,-10,7,95,-10,7,100,MOVE_LEFT
2P,92,20,381,-10,7,35,95,1,0,115,35.0,-10,7,35,-10,7,40,MOVE_LEFT
1P,93,10,388,-10,7,90,30,1,1,120,35.0,-10,7,90,-10,7,95,MOVE_LEFT
2P,93,10,388,-10,7,30,90,1,0,120,35.0,-10,7,30,-10,7,35,MOVE_LEFT
1P,94,0,395,10,7,85,25,1,1,125,35.0,10,7,85,-10,7,90,MOVE_LEFT
2P,94,0,395,10,7,25,85,1,0,125,35.0,10,7,25,-10,7,30,MOVE_RIGHT
1P,95,10,402,10,7,80,30,1,1,130,35.0,10,7,80,10,7,85,MOVE_LEFT
2P,95,10,402,10,7,30,80,1,0,130,35.0,10,7,30,10,7,25,MOVE_RIGHT
